ID汉Link汉Data_lei汉Data_publicação汉Tipo_lei汉Setor汉Revogada
701432020汉https://arquivos.ana.gov.br/_viewpdf/web/?file=/resolucoes/2020/0020-2020_ato_normativo.pdf汉汉 28/09/2020汉701汉ANA汉True
701422020汉https://arquivos.ana.gov.br/_viewpdf/web/?file=/resolucoes/2020/0058-2020_ato_normativo_21122020_20210427140131.pdf汉汉 21/09/2020汉701汉ANA汉True
701412020汉https://arquivos.ana.gov.br/_viewpdf/web/?file=/resolucoes/2020/0045-2020_ato_normativo_19102020_20201110145155.pdf汉汉 21/09/2020汉701汉ANA汉True
701402020汉https://arquivos.ana.gov.br/_viewpdf/web/?file=/resolucoes/2020/0033-2020_ato_normativo__20200731082906.pdf汉汉 21/09/2020汉701汉ANA汉True
701392020汉https://arquivos.ana.gov.br/_viewpdf/web/?file=/resolucoes/2020/0027-2020_ato_normativo.pdf汉汉 14/09/2020汉701汉ANA汉True
701342020汉https://arquivos.ana.gov.br/_viewpdf/web/?file=/resolucoes/2020/0043-2020_ato_normativo_28092020_20201002080519.pdf汉汉 20/07/2020汉701汉ANA汉True
701332020汉https://arquivos.ana.gov.br/_viewpdf/web/?file=/resolucoes/2020/0042-2020_resolucao_conjunta_com_outras_instituicoes__20201015090127.pdf汉汉 20/07/2020汉701汉ANA汉True
701322020汉https://arquivos.ana.gov.br/_viewpdf/web/?file=/resolucoes/2020/0032-2020_ato_normativo_20072020_20201110145058__alteracao.pdf汉汉 20/07/2020汉701汉ANA汉True
701312020汉https://arquivos.ana.gov.br/_viewpdf/web/?file=/resolucoes/2020/0050-2020_resolucao_conjunta_com_outras_instituicoes_23112020_20201127093157.pdf汉汉 13/07/2020汉701汉ANA汉True
701302020汉https://arquivos.ana.gov.br/_viewpdf/web/?file=/resolucoes/2020/0056-2020_ato_normativo_14122020_20201221164416.pdf汉汉 22/06/2020汉701汉ANA汉True
701292020汉https://arquivos.ana.gov.br/_viewpdf/web/?file=/resolucoes/2020/0011-2020_ato_normativo.pdf汉汉 15/06/2020汉701汉ANA汉True
701282020汉https://arquivos.ana.gov.br/_viewpdf/web/?file=/resolucoes/2020/0025-2020_ato_normativo.pdf汉汉 01/06/2020汉701汉ANA汉True
701272020汉https://arquivos.ana.gov.br/_viewpdf/web/?file=/resolucoes/2020/0029-2020_ato_normativo.pdf汉汉 25/05/2020汉701汉ANA汉True
701262020汉https://arquivos.ana.gov.br/_viewpdf/web/?file=/resolucoes/2020/0041-2020_ato_normativo_2192020_20210414141830.pdf汉汉 08/05/2020汉701汉ANA汉True
701252020汉https://arquivos.ana.gov.br/_viewpdf/web/?file=/resolucoes/2020/0031-2020_ato_normativo.pdf汉汉 08/05/2020汉701汉ANA汉True
701242020汉https://arquivos.ana.gov.br/_viewpdf/web/?file=/resolucoes/2020/0028-2020_ato_normativo.pdf汉汉 04/05/2020汉701汉ANA汉True
